iter	Passed	Remaining
694	1334	585
695	1336	583
696	1337	581
697	1339	579
698	1340	577
699	1341	575
700	1343	572
701	1344	570
702	1345	568
703	1347	566
704	1348	564
705	1349	562
706	1351	559
707	1352	557
708	1354	555
709	1355	553
710	1356	551
711	1358	549
712	1359	547
713	1360	545
714	1362	542
715	1363	540
716	1364	538
717	1366	536
718	1367	534
719	1368	532
720	1370	530
721	1371	528
722	1372	525
723	1374	523
724	1375	521
725	1376	519
726	1378	517
727	1379	515
728	1381	513
729	1382	511
730	1383	509
731	1385	507
732	1386	504
733	1387	502
734	1389	500
735	1390	498
736	1391	496
737	1393	494
738	1394	492
739	1396	490
740	1397	488
741	1398	486
742	1400	484
743	1401	482
744	1403	480
745	1404	478
746	1405	476
747	1407	474
748	1408	472
749	1409	469
750	1411	467
751	1412	465
752	1413	463
753	1415	461
754	1416	459
755	1417	457
756	1419	455
757	1420	453
758	1421	451
759	1423	449
760	1424	447
761	1425	445
762	1427	443
763	1428	441
764	1429	439
765	1431	437
766	1432	435
767	1433	433
768	1435	431
769	1436	429
770	1437	427
771	1439	425
772	1440	423
773	1441	420
774	1443	418
775	1444	416
776	1445	414
777	1447	412
778	1448	410
779	1449	408
780	1451	406
781	1452	404
782	1453	402
783	1454	400
784	1456	398
785	1457	396
786	1459	394
787	1460	392
788	1461	390
789	1462	388
790	1464	386
791	1465	384
792	1466	382
793	1468	380
794	1469	378
795	1470	376
796	1472	375
797	1473	373
798	1475	371
799	1476	369
800	1477	367
801	1479	365
802	1480	363
803	1481	361
804	1483	359
805	1484	357
806	1485	355
807	1487	353
808	1488	351
809	1490	349
810	1491	347
811	1492	345
812	1494	343
813	1495	341
814	1496	339
815	1498	337
816	1499	335
817	1500	333
818	1502	331
819	1503	330
820	1505	328
821	1506	326
822	1507	324
823	1509	322
824	1510	320
825	1511	318
826	1513	316
827	1514	314
828	1516	312
829	1517	310
830	1518	308
831	1520	306
832	1521	305
833	1522	303
834	1524	301
835	1525	299
836	1526	297
837	1528	295
838	1529	293
839	1530	291
840	1532	289
841	1533	287
842	1534	285
843	1536	283
844	1537	282
845	1538	280
846	1540	278
847	1541	276
848	1543	274
849	1544	272
850	1545	270
851	1547	268
852	1549	266
853	1550	265
854	1552	263
855	1554	261
856	1555	259
857	1556	257
858	1558	255
859	1559	253
860	1560	251
861	1562	250
862	1563	248
863	1564	246
864	1566	244
865	1568	242
866	1569	240
867	1571	238
868	1572	237
869	1574	235
870	1575	233
871	1576	231
872	1578	229
873	1579	227
874	1581	225
875	1582	224
876	1583	222
877	1585	220
878	1586	218
879	1588	216
880	1589	214
881	1590	212
882	1592	210
883	1593	209
884	1594	207
885	1596	205
886	1597	203
887	1598	201
888	1600	199
889	1602	198
890	1603	196
891	1605	194
892	1606	192
893	1607	190
894	1609	188
895	1610	186
896	1611	185
897	1613	183
898	1614	181
899	1616	179
900	1617	177
901	1618	175
902	1620	174
903	1621	172
904	1622	170
905	1624	168
906	1625	166
907	1626	164
908	1628	162
909	1629	161
910	1631	159
911	1633	157
912	1634	155
913	1635	153
914	1637	152
915	1639	150
916	1642	148
917	1643	146
918	1644	144
919	1647	143
920	1648	141
921	1650	139
922	1651	137
923	1653	135
924	1656	134
925	1657	132
926	1659	130
927	1662	128
928	1663	127
929	1665	125
930	1666	123
931	1668	121
932	1671	120
933	1673	118
934	1674	116
935	1676	114
936	1678	112
937	1680	111
938	1683	109
939	1685	107
940	1686	105
941	1687	103
942	1689	102
943	1692	100
944	1693	98
945	1695	96
946	1696	94
947	1698	93
948	1701	91
949	1703	89
950	1704	87
951	1707	86
952	1708	84
953	1710	82
954	1711	80
955	1713	78
956	1716	77
957	1717	75
958	1719	73
959	1721	71
960	1723	69
961	1724	68
962	1725	66
963	1727	64
964	1730	62
965	1731	60
966	1733	59
967	1735	57
968	1737	55
969	1738	53
970	1740	51
971	1741	50
972	1744	48
973	1745	46
974	1747	44
975	1749	43
976	1752	41
977	1753	39
978	1754	37
979	1756	35
980	1757	34
981	1760	32
982	1762	30
983	1763	28
984	1766	26
985	1767	25
986	1769	23
987	1770	21
988	1771	19
989	1773	17
990	1774	16
991	1776	14
992	1778	12
993	1781	10
994	1783	8
995	1785	7
996	1788	5
997	1789	3
998	1790	1
999	1792	0
